2025-11-07 14:01:21,097 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,105 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,107 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,110 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,112 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,115 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,117 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,121 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,123 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,126 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,133 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,134 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,154 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,159 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,171 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,178 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,187 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,190 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,196 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,200 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,202 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,206 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,211 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,216 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:01:21,219 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
